Step,Health,RUL,Latency
0,0.3610000014305115,54,0.002515554428100586
1,0.3610000014305115,54,0.0015308856964111328
2,0.4009999930858612,60,0.0010042190551757812
3,0.38999998569488525,58,0.0
4,0.4129999876022339,61,0.0008854866027832031
5,0.38999998569488525,58,0.000972747802734375
6,0.38999998569488525,58,0.0015282630920410156
7,0.42100000381469727,63,0.0
8,0.4050000011920929,60,0.0
9,0.37299999594688416,55,0.0
10,0.37299999594688416,55,0.0005450248718261719
11,0.37400001287460327,56,0.001997232437133789
12,0.4050000011920929,60,0.0
13,0.43299999833106995,64,0.0
14,0.4189999997615814,62,0.0
15,0.4189999997615814,62,0.0010251998901367188
16,0.3880000114440918,58,0.0010142326354980469
17,0.36399999260902405,54,0.0
18,0.367000013589859,55,0.0006566047668457031
19,0.367000013589859,55,0.0
20,0.3659999966621399,54,0.001024007797241211
21,0.382999986410141,57,0.0
22,0.34299999475479126,51,0.0010051727294921875
23,0.34299999475479126,51,0.0010187625885009766
24,0.3140000104904175,47,0.0009989738464355469
25,0.296999990940094,44,0.005582094192504883
26,0.30799999833106995,46,0.0010159015655517578
27,0.2770000100135803,41,0.0019533634185791016
28,0.3070000112056732,46,0.0009953975677490234
29,0.34700000286102295,52,0.0009970664978027344
30,0.34700000286102295,52,0.002695322036743164
31,0.33500000834465027,50,0.0
32,0.30399999022483826,45,0.0
33,0.2759999930858612,41,0.0
34,0.27000001072883606,40,0.0011942386627197266
35,0.27000001072883606,40,0.0
36,0.3009999990463257,45,0.0
37,0.31299999356269836,46,0.0
38,0.28200000524520874,42,0.0
39,0.28200000524520874,42,0.0
40,0.28200000524520874,42,0.0
41,0.26600000262260437,39,0.0009760856628417969
42,0.28200000524520874,42,0.0009918212890625
43,0.28200000524520874,42,0.0
44,0.31200000643730164,46,0.0
45,0.31200000643730164,46,0.0
46,0.3319999873638153,49,0.0
47,0.3720000088214874,55,0.0007491111755371094
48,0.3409999907016754,51,0.001636505126953125
49,0.3179999887943268,47,0.0014390945434570312
